OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,YearRemodAdd,GarageArea,TotRmsAbvGrd,SalePrice
7,1710,2,856,856,2003,2,2003,548,8,208500
6,1262,2,1262,1262,1976,2,1976,460,6,181500
7,1786,2,920,920,2001,2,2002,608,6,223500
7,1717,3,756,961,1915,1,1970,642,7,140000
8,2198,3,1145,1145,2000,2,2000,836,9,250000
5,1362,2,796,796,1993,1,1995,480,5,143000
8,1694,2,1686,1694,2004,2,2005,636,7,307000
7,2090,2,1107,1107,1973,2,1973,484,7,200000
7,1774,2,952,1022,1931,2,1950,468,8,129900
5,1077,1,991,1077,1939,1,1950,205,5,118000
5,1040,1,1040,1040,1965,1,1965,384,5,129500
9,2324,3,1175,1182,2005,3,2006,736,11,345000
5,912,1,912,912,1962,1,1962,352,4,144000
7,1494,3,1494,1494,2006,2,2007,840,7,279500
6,1253,1,1253,1253,1960,1,1960,352,5,157000
7,854,2,832,854,1929,1,2001,576,5,132000
6,1004,2,1004,1004,1970,1,1970,480,5,149000
4,1296,2,0,1296,1967,2,1967,516,6,90000
5,1114,2,1114,1114,2004,1,2004,576,6,159000
5,1339,1,1029,1339,1958,1,1965,294,6,139000
8,2376,3,1158,1158,2005,3,2006,853,9,325300
7,1108,1,637,1108,1930,1,1950,280,6,139400
8,1795,2,1777,1795,2002,2,2002,534,7,230000
5,1060,2,1040,1060,1976,1,1976,572,6,129900
5,1060,1,1060,1060,1968,1,2001,270,6,154000
8,1600,3,1566,1600,2007,2,2007,890,7,256300
5,900,2,900,900,1951,1,2000,576,5,134800
8,1704,3,1704,1704,2007,2,2008,772,7,306000
5,1600,1,1484,1600,1957,1,1997,319,6,207500
4,520,1,520,520,1927,1,1950,240,4,68500
4,1317,1,649,649,1920,1,1950,250,6,40000
5,1228,1,1228,1228,1966,1,2006,271,6,149350
8,1234,2,1234,1234,2007,2,2007,484,7,179900
5,1700,2,1398,1700,1959,1,1959,447,6,165500
9,1561,2,1561,1561,2005,2,2005,556,6,277500
8,2452,3,1117,1132,2004,3,2005,691,9,309000
5,1097,2,1097,1097,1994,1,1995,672,6,145000
5,1297,2,1297,1297,1954,1,1990,498,5,153000
5,1057,1,1057,1057,1953,1,2007,246,5,109000
4,1152,0,0,1152,1955,2,1955,0,6,82000
6,1324,2,1088,1324,1965,2,1965,440,6,160000
5,1328,1,1350,1328,1959,1,1959,308,5,170000
5,884,2,840,884,1983,1,1983,504,5,144000
5,938,1,938,938,1975,1,1980,308,5,130250
5,1150,1,1150,1150,1959,1,1959,300,6,141000
9,1752,2,1752,1752,2005,2,2005,576,6,319900
7,2149,2,1434,1518,2003,1,2003,670,6,239686
